order_id,product_id,quantity,order_date,customer_id,discount_code,total_amount,payment_mode
ORD-2001,1,2,2024-01-10,CUST-301,DISC10,219.90,Card
ORD-2002,3,1,2024-02-15,CUST-145,,349.50,Cash
ORD-2003,5,,2024-03-12,CUST-167,DISC20,150.00,UPI
ORD-2004,7,4,2026-05-20,CUST-189,DISC10,780.00,CARD
ORD-2005,2,3,2024/04/10,CUST-301,DISC30,invalid_amount,card
ORD-2006,15,2,2024-06-18,CUST-302,,450.00,UPI
ORD-2007,18,1,2024-07-22,CUST-310,DISC10,120.50,Cash
ORD-2008,20,5,2024-08-30,CUST-311,,870.75,UPI
ORD-2009,4,-1,2024-09-10,CUST-298,DISC15,100.00,Card
ORD-2010,6,2,,CUST-277,DISC10,200.00,Card
ORD-2011,8,3,2024-10-05,CUST-282,DISC10,350.00,NetBanking
ORD-2012,10,2,2024-11-11,CUST-145,,500.00,UPI
ORD-2013,12,1,2024-12-01,CUST-167,DISC25,0,Cash
ORD-2014,11,3,2024-01-25,CUST-189,DISC10,600.00,
ORD-2015,14,2,2024-02-14,CUST-299,,700.00,Card
ORD-2016,13,4,2024-03-11,CUST-255,DISC20,800.00,UPI
ORD-2017,17,1,2024-04-05,CUST-310,DISC10,150.00,UPI
ORD-2018,16,3,2024-05-21,CUST-311,,450.00,Cash
ORD-2019,9,2,2024-06-30,CUST-298,DISC10,500.00,Card
ORD-2020,1,2,2024-07-15,CUST-301,,219.90,Card
ORD-2021,21,2,2024-08-19,CUST-302,DISC10,300.00,Card
ORD-2022,,3,2024-09-09,CUST-303,DISC15,200.00,Cash
ORD-2023,3,1,2024-10-10,CUST-145,,349.50,Cash
ORD-2023,3,1,2024-10-10,CUST-145,,349.50,Cash
ORD-2024,5,2,2024-11-22,CUST-167,DISC20,300.00,UPI
ORD-2025,7,3,not_a_date,CUST-189,DISC10,500.00,CARD
ORD-2026,2,abc,2024-12-31,CUST-301,DISC30,600.00, card
ORD-2027,14,2,2024-01-15,CUST-299,,700.00,Card
ORD-2028,15,5,2024-02-20,CUST-302,,1100.00,UPI
ORD-2029,18,3,2024-03-25,CUST-310,DISC10,360.00,Cash
ORD-2030,20,1,2024-84-38,CUST-311,,200.00,UPI
